index,time,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,score,raw_direction,admitted_direction,active_direction,event
48,2026.01.12 12:00:00,0.000046094,0.000091864,-0.000123170,0.000026433,0.000035616,1.199733496,0.350078613,0.652774274,1.663867116,0.988906503,0.971342087,0.237685889,0.650732934,1,1,1,enter
49,2026.01.12 12:05:00,0.000059276,0.000136268,-0.000051038,0.000032634,0.000035922,1.192338705,0.445574909,0.630379319,-0.482090116,1.003174663,0.976296008,0.216439620,0.403912425,1,0,1,hold
50,2026.01.12 12:10:00,0.000069460,0.000174830,0.000041827,0.000037780,0.000036240,1.174184680,0.524288535,0.723256409,0.875827432,1.017488122,0.980785251,0.195090324,0.591078162,1,0,1,hold
51,2026.01.12 12:15:00,0.000075946,0.000204683,0.000149206,0.000041027,0.000036480,1.274837971,0.579208672,0.723997056,-1.262041211,1.026941419,0.984807730,0.173648179,0.353102088,1,0,1,hold
52,2026.01.12 12:20:00,0.000078373,0.000223779,0.000263675,0.000041932,0.000036572,1.340569973,0.603576779,0.719143808,0.090882525,1.036334872,0.988361537,0.152123392,0.527319491,1,0,1,hold
53,2026.01.12 12:25:00,0.000076735,0.000231055,0.000377223,0.000040382,0.000036497,1.377688050,0.599649608,0.708984911,1.386205554,1.045669317,0.991444886,0.130526185,0.688680530,1,0,1,hold
54,2026.01.12 12:30:00,0.000071362,0.000226471,0.000481915,0.000036577,0.000036278,1.379420161,0.565184057,0.693511486,-0.689942479,0.946372211,0.994056344,0.108866878,0.443075836,1,1,1,exit_then_enter
55,2026.01.12 12:35:00,0.000062866,0.000210963,0.000570549,0.000031050,0.000035982,1.228612781,0.509766877,0.746989191,0.607858658,0.960505545,0.996194720,0.087155744,0.593028843,1,0,1,hold
56,2026.01.12 12:40:00,0.000052062,0.000186290,0.000637232,0.000024756,0.000035685,1.065488577,0.436684728,0.683064699,-1.461157084,0.974683523,0.997858942,0.065403126,0.319601715,1,0,1,hold
57,2026.01.12 12:45:00,0.000039886,0.000154814,0.000677831,0.000019355,0.000035457,1.023048043,0.347993970,0.643531501,-0.094840094,0.988906503,0.999048233,0.043619387,0.469692707,1,0,1,hold
58,2026.01.12 12:50:00,0.000027299,0.000119247,0.000690258,0.000017327,0.000035333,0.971592188,0.249990970,0.596706092,1.298141003,1.003174663,0.999761999,0.021814885,0.620001435,1,0,1,hold
59,2026.01.12 12:55:00,0.000015206,0.000082391,0.000674566,0.000019715,0.000035306,0.907733560,0.147920460,0.543430448,-0.800004601,1.017488122,1.000000000,0.000000000,0.348732471,1,0,1,hold
60,2026.01.12 13:00:00,0.000004392,0.000046897,0.000632864,0.000024328,0.000035335,0.723393857,0.053144019,0.576441050,0.589339733,1.026941419,0.999761999,-0.021814885,0.499057174,1,1,1,exit_then_enter
61,2026.01.12 13:05:00,-0.000004521,0.000015077,0.000569067,0.000028866,0.000035364,0.747994363,0.030062623,0.513266861,-1.425292611,1.036334872,0.999048233,-0.043619387,0.251130462,1,0,1,hold
62,2026.01.12 13:10:00,-0.000011097,-0.000011226,0.000488510,0.000032142,0.000035333,0.862288535,0.096440293,0.468625933,-0.047096685,1.045669317,0.997858942,-0.065403126,0.428911030,1,0,1,hold
63,2026.01.12 13:15:00,-0.000015088,-0.000030706,0.000397476,0.000033638,0.000035204,0.825019836,0.142157272,0.352709770,1.345724940,0.946372211,0.996194720,-0.087155744,0.588499308,1,0,1,hold
64,2026.01.12 13:20:00,-0.000016417,-0.000042602,0.000302686,0.000033211,0.000034961,0.894014776,0.162696064,0.348092049,-0.688428342,0.960505545,0.994056344,-0.108866878,0.353773773,1,0,1,hold
65,2026.01.12 13:25:00,-0.000015159,-0.000046664,0.000210792,0.000030970,0.000034616,0.805504680,0.158261806,0.413936943,0.700453401,0.974683523,0.991444886,-0.130526185,0.524484634,1,0,1,hold
66,2026.01.12 13:30:00,-0.000011514,-0.000043089,0.000127916,0.000027216,0.000034203,0.823722005,0.127552584,0.429737747,-1.339702129,0.988906503,0.988361537,-0.152123392,0.282525718,1,1,1,exit_then_enter
67,2026.01.12 13:35:00,-0.000005782,-0.000032455,0.000059268,0.000022437,0.000033772,0.819316745,0.074068494,0.457204968,0.047603630,1.003174663,0.984807730,-0.173648179,0.449315757,1,0,1,hold
68,2026.01.12 13:40:00,0.000001649,-0.000015647,0.000008855,0.000017367,0.000033376,0.796455801,0.002130503,0.496181607,1.505795002,1.017488122,0.980785251,-0.195090324,0.622795880,1,0,1,hold
69,2026.01.12 13:45:00,0.000010324,0.000006191,-0.000020708,0.000013247,0.000033069,0.914830446,0.081503719,0.538130939,-0.531318843,1.026941419,0.976296008,-0.216439620,0.403743565,1,0,1,hold
70,2026.01.12 13:50:00,0.000019720,0.000031694,-0.000028286,0.000011967,0.000032889,0.778739870,0.171037003,0.597229958,0.843127966,1.036334872,0.971342087,-0.237685889,0.576947093,1,0,1,hold
71,2026.01.12 13:55:00,0.000029262,0.000059306,-0.000014230,0.000014123,0.000032855,0.916410089,0.259648949,0.626646399,-1.284782767,1.045669317,0.965925813,-0.258819044,0.347306311,1,0,1,hold
